spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
21,0,1,0,0,0.5,653,0,0,0
20,1,2.38538e+008,0,0,2.38538e+007,45,0,0,0
19,2,1.02798e+009,0,0,1.02798e+008,52,0,0,0
18,3,3.4562e+007,0,0,3.4562e+006,9,0,0,0
17,4,2.27196e+009,0,0,2.27196e+008,87,0,0,0
16,5,1.48176e+009,0,0,1.48176e+008,49,0,0,0
15,6,1.31028e+008,0,0,1.31028e+007,29,0,0,0
14,7,6.002e+007,0,0,6.002e+006,28,0,0,0
13,8,8.93177e+007,0,0,8.93177e+006,26,0,0,0
12,9,3.52533e+009,0,0,3.52533e+008,79,0,0,0
11,10,5.01909e+009,0,0,5.01909e+008,82,0,0,0
10,11,5.51448e+009,0,0,5.51448e+008,56,0,0,0
9,12,6.06264e+007,0,0,6.06264e+006,20,0,0,0
8,13,1.17007e+010,0,0,1.17007e+009,110,0,0,0
7,14,3.76396e+009,0,0,3.76396e+008,42,0,0,0
6,15,2.83242e+009,0,0,2.83242e+008,30,0,0,0
5,16,5.01695e+009,0,0,5.01695e+008,56,0,0,0
4,17,1.45211e+009,0,0,1.45211e+008,26,0,0,0
3,18,7.46666e+009,0,0,7.46666e+008,88,0,0,0
2,19,2.13197e+009,0,0,2.13197e+008,26,0,0,0
1,20,1.11056e+009,0,0,1.11056e+008,34,0,0,0
